disease, disease_url, summary
Eyelid Disorders,https://medlineplus.gov/eyeliddisorders.html,Your eyelids help protect your eyes. When you blink; your eyelids spread moisture over your eyes. Blinking also helps move dirt or other particles off the surface of the eye.  You close your eyelids when you see something coming toward your eyes.  This can help protect against injuries.Like most other parts of your body; your eyelids can get infected; inflamed; or even develop cancer. There are also specific eyelid problems; includingEyelids that turn in or outEyelids that droopAbnormal blinking or twitchingTreatment of eyelid problems depends on the cause.
Facial Injuries and Disorders,https://medlineplus.gov/facialinjuriesanddisorders.html,Face injuries and disorders can cause pain and affect how you look. In severe cases; they can affect sight; speech; breathing and your ability to swallow. Broken bones; especially the bones of your nose; cheekbone and jaw; are common facial injuries.Certain diseases also lead to facial disorders. For example; nerve diseases like trigeminal neuralgia or Bell's palsy sometimes cause facial pain; spasms and trouble with eye or facial movement. Birth defects can also affect the face. They can cause underdeveloped or unusually prominent facial features or a lack of facial expression. Cleft lip and palate are a common facial birth defect.
Growth Disorders,https://medlineplus.gov/growthdisorders.html,Does your child seem much shorter - or much taller - than other kids his or her age? It could be normal. Some children may be small for their age but still be developing normally. Some children are short or tall because their parents are.But some children have growth disorders.  Growth disorders are problems that prevent children from developing normal height; weight; sexual maturity or other features.Very slow or very fast growth can sometimes signal a gland problem or disease.The pituitary gland makes growth hormone; which stimulates the growth of bone and other tissues. Children who have too little of it may be very short. Treatment with growth hormone can stimulate growth.People can also have too much growth hormone.  Usually the cause is a pituitary gland tumor; which is not cancer.  Too much growth hormone can cause gigantism in children; where their bones and their body grow too much.  In adults; it can cause acromegaly; which makes the hands; feet and face larger than normal. Possible treatments include surgery to remove the tumor; medicines; and radiation therapy.
Fainting,https://medlineplus.gov/fainting.html,Fainting is a temporary loss of consciousness. If you're about to faint; you'll feel dizzy; lightheaded; or nauseous. Your field of vision may "white out" or "black out."  Your skin may be cold and clammy.  You lose muscle control at the same time; and may fall down.Fainting usually happens when your blood pressure drops suddenly; causing a decrease in blood flow to your brain. It is more common in older people. Some causes of fainting includeHeat or dehydration Emotional distress Standing up too quickly Certain medicines Drop in blood sugar Heart problems When someone faints; make sure that the airway is clear and check for breathing. The person should stay lying down for 10-15 minutes.  Most people recover completely. Fainting is usually nothing to worry about; but it can sometimes be a sign of a serious problem. If you faint; it's important to see your health care provider and find out why it happened.
Falls,https://medlineplus.gov/falls.html,A fall can change your life. If you're elderly; it can lead to disability and a loss of independence. If your bones are fragile from osteoporosis; you could break a bone; often a hip. But aging alone doesn't make people fall. Diabetes and heart disease affect balance. So do problems with circulation; thyroid or nervous systems. Some medicines make people dizzy. Eye problems or alcohol can be factors. Any of these things can make a fall more likely. Babies and young children are also at risk of falling - off of furniture and down stairs; for example. Falls and accidents seldom "just happen." Taking care of your health by exercising and getting regular eye exams and physicals may help reduce your chance of falling. Getting rid of tripping hazards in your home and wearing nonskid shoes may also help. To reduce the chances of breaking a bone if you do fall; make sure that you get enough calcium and vitamin D.  NIH: National Institute on Aging
Dentures,https://medlineplus.gov/dentures.html,Dentures are false teeth made to replace teeth you have lost. Dentures can be complete or partial. Complete dentures cover your entire upper or lower jaw. Partials replace one or a few teeth. Advances in dentistry have made many improvements in dentures. They are more natural looking and comfortable than they used to be. But they still may feel strange at first. In the beginning; your dentist may want to see you often to make sure the dentures fit. Over time; your mouth will change and your dentures may need to be adjusted or replaced. Be sure to let your dentist handle these adjustments. Speaking and eating may feel different with dentures. Be careful when wearing dentures because they may make it harder for you to feel hot foods and liquids. Also; you may not notice biting on a bone from your food. NIH: National Institute on Aging
Cholesterol,https://medlineplus.gov/cholesterol.html,Cholesterol is a waxy; fat-like substance that occurs naturally in all parts of the body. Your body needs some cholesterol to work properly. But if you have too much in your blood; it can combine with other substances in the blood and stick to the walls of your arteries. This is called plaque. Plaque can narrow your arteries or even block them.High levels of cholesterol in the blood can increase your risk of heart disease. Your cholesterol levels tend to rise as you get older. There are usually no signs or symptoms that you have high blood cholesterol; but it can be detected with a blood test. You are likely to have high cholesterol if members of your family have it; if you are overweight or if you eat a lot of fatty foods.You can lower your cholesterol by exercising more and eating more fruits and vegetables. You also may need to take medicine to lower your cholesterol.NIH: National Heart; Lung; and Blood Institute
Triglycerides,https://medlineplus.gov/triglycerides.html,Triglycerides are a type of fat found in your blood. Too much of this type of fat may raise the risk of coronary artery disease; especially in women.A blood test measures your triglycerides along with your cholesterol.  Normal triglyceride levels are below 150. Levels above 200 are high.Factors that can raise your triglyceride level includeBeing overweightLack of physical activitySmokingExcessive alcohol useA very high carbohydrate dietCertain diseases and medicinesSome genetic disordersYou may be able to lower your triglycerides with a combination of losing weight; diet; and exercise. You also may need to take medicine to lower your triglycerides.NIH: National Heart; Lung; and Blood Institute
Cholesterol,https://medlineplus.gov/cholesterol.html,Cholesterol is a waxy; fat-like substance that occurs naturally in all parts of the body. Your body needs some cholesterol to work properly. But if you have too much in your blood; it can combine with other substances in the blood and stick to the walls of your arteries. This is called plaque. Plaque can narrow your arteries or even block them.High levels of cholesterol in the blood can increase your risk of heart disease. Your cholesterol levels tend to rise as you get older. There are usually no signs or symptoms that you have high blood cholesterol; but it can be detected with a blood test. You are likely to have high cholesterol if members of your family have it; if you are overweight or if you eat a lot of fatty foods.You can lower your cholesterol by exercising more and eating more fruits and vegetables. You also may need to take medicine to lower your cholesterol.NIH: National Heart; Lung; and Blood Institute
Cholesterol,https://medlineplus.gov/cholesterol.html,Cholesterol is a waxy; fat-like substance that occurs naturally in all parts of the body. Your body needs some cholesterol to work properly. But if you have too much in your blood; it can combine with other substances in the blood and stick to the walls of your arteries. This is called plaque. Plaque can narrow your arteries or even block them.High levels of cholesterol in the blood can increase your risk of heart disease. Your cholesterol levels tend to rise as you get older. There are usually no signs or symptoms that you have high blood cholesterol; but it can be detected with a blood test. You are likely to have high cholesterol if members of your family have it; if you are overweight or if you eat a lot of fatty foods.You can lower your cholesterol by exercising more and eating more fruits and vegetables. You also may need to take medicine to lower your cholesterol.NIH: National Heart; Lung; and Blood Institute
Triglycerides,https://medlineplus.gov/triglycerides.html,Triglycerides are a type of fat found in your blood. Too much of this type of fat may raise the risk of coronary artery disease; especially in women.A blood test measures your triglycerides along with your cholesterol.  Normal triglyceride levels are below 150. Levels above 200 are high.Factors that can raise your triglyceride level includeBeing overweightLack of physical activitySmokingExcessive alcohol useA very high carbohydrate dietCertain diseases and medicinesSome genetic disordersYou may be able to lower your triglycerides with a combination of losing weight; diet; and exercise. You also may need to take medicine to lower your triglycerides.NIH: National Heart; Lung; and Blood Institute
Family History,https://medlineplus.gov/familyhistory.html,Your family history includes health information about you and your close relatives. Families have many factors in common; including their genes; environment; and lifestyle. Looking at these factors can help you figure out whether you have a higher risk for certain health problems; such as heart disease; stroke; and cancer.Having a family member with a disease raises your risk; but it does not mean that you will definitely get it. Knowing that you are at risk gives you a chance to reduce that risk by following a healthier lifestyle and getting tested as needed. You can get started by talking to your relatives about their health. Draw a family tree and add the health information. Having copies of medical records and death certificates is also helpful. Centers for Disease Control and Prevention
Family Issues,https://medlineplus.gov/familyissues.html,There are many kinds of families. Some have two parents; while others have a single parent. Sometimes there is no parent and grandparents raise grandchildren. Some children live in foster families; adoptive families; or in stepfamilies.Families are much more than groups of people who share the same genes or the same address. They should be a source of love and support. This does not mean that everyone gets along all the time. Conflicts are a part of family life. Many things can lead to conflict; such as illness; disability; addiction; job loss; school problems; and marital  issues.  Listening to each other and working to resolve conflicts are important in strengthening the family.
Birth Control,https://medlineplus.gov/birthcontrol.html,Birth control; also known as contraception; is designed to prevent pregnancy. Birth control methods may work in a number of different ways:Preventing sperm from getting to the eggs. Types include condoms; diaphragms; cervical caps; and contraceptive sponges.Keeping the woman's ovaries from releasing eggs that could be fertilized. Types include birth control pills; patches; shots; vaginal rings; and emergency contraceptive pills.IUDs; devices which are implanted into the uterus. They can be kept in place for several years.Sterilization; which permanently prevents a woman from getting pregnant or a man from being able to get a woman pregnant Your choice of birth control should depend on several factors. These include your health; frequency of sexual activity; number of sexual partners and desire to have children in the future. Your health care provider can help you select the best form of birth control for you.NIH: National Institute of Child Health and Human Development
Aplastic Anemia,https://medlineplus.gov/aplasticanemia.html,Aplastic anemia is a rare but serious blood disorder.  If you have it; your bone marrow doesn't make enough new blood cells. There are different types; including Fanconi anemia. Causes includeToxic substances; such as pesticides; arsenic; and benzeneRadiation therapy and chemotherapy for cancerCertain medicinesInfections such as hepatitis; Epstein-Barr virus; or HIVAutoimmune disordersCertain inherited conditionsPregnancyIn many people; the cause is unknown.Symptoms include fatigue; weakness; dizziness; and shortness of breath. It can cause heart problems such as an irregular heartbeat; an enlarged heart; and heart failure. You may also have frequent infections and bleeding.Your doctor will diagnose aplastic anemia based on your medical and family histories; a physical exam; and test results. Once your doctor knows the cause and severity of the condition; he or she can create a treatment plan for you. Treatments include blood transfusions; blood and marrow stem cell transplants; and medicines.NIH: National Heart; Lung; and Blood Institute
Farm Health and Safety,https://medlineplus.gov/farmhealthandsafety.html,You might think of farms as peaceful settings. Actually; farming is one of the most dangerous jobs in the United States. Farms have many health and safety hazards; includingChemicals and pesticidesMachinery; tools and equipment that can be dangerousHazardous areas; such as grain bins; silos and wellsLivestock that can spread diseases or cause injuriesFarming injuries are very common. Physical labor and accidents can cause injuries. Most farm accidents involve machinery. Proper machine inspection and maintenance can help prevent accidents. Using safety gloves; goggles and other protective equipment can also reduce accidents. Occupational Safety and Health Administration
Interstitial Lung Diseases,https://medlineplus.gov/interstitiallungdiseases.html,Interstitial lung disease is the name for a large group of diseases that inflame or scar the lungs. The inflammation and scarring make it hard to get enough oxygen. The scarring is called pulmonary fibrosis.Breathing in dust or other particles in the air is responsible for some types of interstitial lung diseases. Specific types includeBlack lung disease among coal miners; from inhaling coal dustFarmer's lung; from inhaling farm dustAsbestosis; from inhaling asbestos fibersSiderosis; from inhaling iron from mines or welding fumesSilicosis; from inhaling silica dustOther causes include autoimmune diseases or occupational exposures to molds; gases; or fumes. Some types of interstitial lung disease have no known cause.Treatment depends on the type of exposure and the stage of the disease. It may involve medicines; oxygen therapy; or a lung transplant in severe cases.
Farm Health and Safety,https://medlineplus.gov/farmhealthandsafety.html,You might think of farms as peaceful settings. Actually; farming is one of the most dangerous jobs in the United States. Farms have many health and safety hazards; includingChemicals and pesticidesMachinery; tools and equipment that can be dangerousHazardous areas; such as grain bins; silos and wellsLivestock that can spread diseases or cause injuriesFarming injuries are very common. Physical labor and accidents can cause injuries. Most farm accidents involve machinery. Proper machine inspection and maintenance can help prevent accidents. Using safety gloves; goggles and other protective equipment can also reduce accidents. Occupational Safety and Health Administration
Refractive Errors,https://medlineplus.gov/refractiveerrors.html,The cornea and lens of your eye helps you focus.  Refractive errors are vision problems that happen when the shape of the eye keeps you from focusing well. The cause could be the length of the eyeball (longer or shorter); changes in the shape of the cornea; or aging of the lens.Four common refractive errors areMyopia; or nearsightedness - clear vision close up but  blurry in the distanceHyperopia; or farsightedness - clear vision in the distance but blurry close upPresbyopia - inability to focus close up as a result of agingAstigmatism - focus problems caused by the corneaThe most common symptom is blurred vision. Other symptoms may include double vision; haziness; glare or halos around bright lights; squinting; headaches; or eye strain.Glasses or contact lenses can usually correct refractive errors. Laser eye surgery may also be a possibility.NIH: National Eye Institute
Fetal Alcohol Spectrum Disorders,https://medlineplus.gov/fetalalcoholspectrumdisorders.html,Alcohol can harm your baby at any stage during a pregnancy. That includes the earliest stages before you even know you are pregnant. Drinking alcohol can cause a group of conditions called fetal alcohol spectrum disorders (FASDs). Effects can include physical and behavioral problems such as trouble withLearning and rememberingUnderstanding and following directionsControlling emotionsCommunicating and socializingDaily life skills; such as feeding and bathingFetal alcohol syndrome is the most serious type of FASD. People with fetal alcohol syndrome have facial abnormalities; including wide-set and narrow eyes; growth problems and nervous system abnormalities.FASDs last a lifetime. There is no cure for FASDs. Treatments can help. These include medicines to help with some symptoms and behavior therapy. No one treatment is right for every child.Centers for Disease Control and Prevention
Fatigue,https://medlineplus.gov/fatigue.html,Everyone feels tired now and then. Sometimes you may just want to stay in bed. But; after a good night's sleep; most people feel refreshed and ready to face a new day. If you continue to feel tired for weeks; it's time to see your doctor. He or she may be able to help you find out what's causing your fatigue and recommend ways to relieve it.Fatigue itself is not a disease. Medical problems; treatments; and personal habits can add to fatigue. These includeTaking certain medicines; such as antidepressants; antihistamines; and medicines for nausea and painHaving medical treatments; like chemotherapy and radiationRecovering from major surgeryAnxiety; stress; or depressionStaying up too lateDrinking too much alcohol or too many caffeinated drinksPregnancyOne disorder that causes extreme fatigue is chronic fatigue syndrome (CFS). This fatigue is not the kind of tired feeling that goes away after you rest. Instead; it lasts a long time and limits your ability to do ordinary daily activities.NIH: National Institute on Aging
Dietary Fats,https://medlineplus.gov/dietaryfats.html,Fat is a type of nutrient. You need some fat in your diet but not too much. Fats give you energy and help your body absorb vitamins. Dietary fat also plays a major role in your cholesterol levels.But not all fats are the same. You should try to avoidSaturated fats such as butter; solid shortening; and lardTrans fats. These are found in vegetable shortenings; some margarines; crackers; cookies; snack foods; and other foods made with or fried in partially hydrogenated oils (PHOs). By 2018; most U.S. companies will not be allowed to add PHOs to food.Try to replace them with oils such as canola; olive; safflower; sesame; or sunflower. Of course; eating too much fat will put on the pounds.  Fat has twice as many calories as proteins or carbohydrates.NIH: National Heart; Lung; and Blood Institute
Fatty Liver Disease,https://medlineplus.gov/fattyliverdisease.html,What is fatty liver disease?Your liver is the largest organ inside your body. It helps your body digest food; store energy; and remove poisons. Fatty liver disease is a condition in which fat builds up in your liver. There are two main types:Nonalcoholic fatty liver disease (NAFLD)Alcoholic fatty liver disease; also called alcoholic steatohepatitisWhat is nonalcoholic fatty liver disease (NAFLD)?NAFLD is a type of fatty liver disease that is not related to heavy alcohol use. There are two kinds:Simple fatty liver; in which you have fat in your liver but little or no inflammation or liver cell damage. Simple fatty liver typically does not get bad enough to cause liver damage or complications.Nonalcoholic steatohepatitis (NASH); in which you have inflammation and liver cell damage; as well as fat in your liver. Inflammation and liver cell damage can cause fibrosis; or scarring; of the liver. NASH may lead to cirrhosis or liver cancer.What is alcoholic fatty liver disease?Alcoholic fatty liver disease is due to heavy alcohol use. Your liver breaks down most of the alcohol you drink; so it can be removed from your body. But the process of breaking it down can generate harmful substances. These substances can damage liver cells; promote inflammation; and weaken your body's natural defenses. The more alcohol that you drink; the more you damage your liver.  Alcoholic fatty liver disease is the earliest stage of alcohol-related liver disease. The next stages are alcoholic hepatitis and cirrhosis.Who gets fatty liver disease?Researchers do not know the cause of nonalcoholic fatty liver (NAFLD). They do know that it is more common in people whoHave type 2 diabetes and prediabetesHave obesityAre middle aged or older (although children can also get it)Are Hispanic; followed by non-Hispanic whites. It is less common in African Americans.Have high levels of fats in the blood; such as cholesterol and triglyceridesHave high blood pressureTake certain drugs; such as corticosteroids and some cancer drugsHave certain metabolic disorders; including metabolic syndromeHave rapid weight lossHave certain infections; such as hepatitis CHave been exposed to some toxinsNAFLD affects about 25 percent of people in the world. As the rates of obesity; type 2 diabetes; and high cholesterol are rising in the United States; so is the rate of NAFLD. NAFLD is the most common chronic liver disorder in the United States.Alcoholic fatty liver disease only happens in people who are heavy drinkers; especially those who have been drinking for a long period of time. The risk is higher for heavy drinkers who are women; have obesity; or have certain genetic mutations.What are the symptoms of fatty liver disease?Both NAFLD and alcoholic fatty liver disease are usually silent diseases with few or no symptoms. If you do have symptoms; you may feel tired or have discomfort in the upper right side of your abdomen.How do I know if I have fatty liver disease?Because there are often no symptoms; it is not easy to find fatty liver disease. Your doctor may suspect that you have it if you get abnormal results on liver tests that you had for other reasons. To make a diagnosis; your doctor will useYour medical historyA physical examVarious tests; including blood and imaging tests; and sometimes a biopsyAs part of the medical history; your doctor will ask about your alcohol use; to find out whether fat in your liver is a sign of alcoholic fatty liver disease or nonalcoholic fatty liver (NAFLD). He or she will also ask which medicines you take; to try to determine whether a medicine is causing your NAFLD.During the physical exam; your doctor will examine your body and check your weight and height. Your doctor will look for signs of fatty liver disease; such asAn enlarged liverSigns of cirrhosis; such as jaundice; a condition that causes your skin and whites of your eyes to turn yellowYou will likely have blood tests; including liver function tests and blood count tests. In some cases you may also have imaging tests; like those that check for fat in the liver and the stiffness of your liver. Liver stiffness can mean fibrosis; which is scarring of the liver. In some cases you may also need a liver biopsy to confirm the diagnosis; and to check how bad the liver damage is.What are the treatments for fatty liver disease?Doctors recommend weight loss for nonalcoholic fatty liver. Weight loss can reduce fat in the liver; inflammation; and fibrosis. If your doctor thinks that a certain medicine is the cause of your NAFLD; you should stop taking that medicine.  But check with your doctor before stopping the medicine. You may need to get off the medicine gradually; and you might need to switch to another medicine instead.There are no medicines that have been approved to treat NAFLD. Studies are investigating whether a certain diabetes medicine or Vitamin E can help; but more studies are needed.The most important part of treating alcohol-related fatty liver disease is to stop drinking alcohol. If you need help doing that; you may want to see a therapist or participate in an alcohol recovery program. There are also medicines that can help; either by reducing your cravings or making you feel sick if you drink alcohol.Both alcoholic fatty liver disease and one type of nonalcoholic fatty liver disease (nonalcoholic steatohepatitis) can lead to cirrhosis. Doctors can treat the health problems caused by cirrhosis with medicines; operations; and other medical procedures. If the cirrhosis leads to liver failure; you may need a liver transplant.What are some lifestyle changes that can help with fatty liver disease?If you have any of the types of fatty liver disease; there are some lifestyle changes that can help:Eat a healthy diet; limiting salt and sugar; plus eating lots of fruits; vegetables; and whole grainsGet vaccinations for hepatitis A and B; the flu and pneumococcal disease. If you get hepatitis A or B along with fatty liver; it is more likely to lead to liver failure. People with chronic liver disease are more likely to get infections; so the other two vaccinations are also important.Get regular exercise; which can help you lose weight and reduce fat in the liverTalk with your doctor before using dietary supplements; such as vitamins; or any complementary or alternative medicines or medical practices. Some herbal remedies can damage your liver.
Intestinal Obstruction,https://medlineplus.gov/intestinalobstruction.html,An intestinal obstruction occurs when food or stool cannot move through the intestines. The obstruction can be complete or partial. There are many causes. The most common are adhesions; hernias; cancers; and certain medicines.  Symptoms include  Severe abdominal pain or cramping  Vomiting  Bloating  Loud bowel sounds  Swelling of the abdomen  Inability to pass gas  Constipation  A complete intestinal obstruction is a medical emergency.  It often requires surgery. NIH: National Institute of Diabetes and Digestive and Kidney Diseases
Sexual Problems in Women,https://medlineplus.gov/sexualproblemsinwomen.html,There are many problems that can keep a woman from enjoying sex. They includeLack of sexual desire Inability to become arousedLack of orgasm; or sexual climaxPainful intercourseThese problems may have physical or psychological causes. Physical causes may include conditions like diabetes; heart disease; nerve disorders; or hormone problems. Some drugs can also affect desire and function. Psychological causes may include work-related stress and anxiety. They may also include depression or concerns about marriage or relationship problems. For some women; the problem results from past sexual trauma. Occasional problems with sexual function are common. If problems last more than a few months or cause distress for you or your partner; you should see your health care provider.
Female Infertility,https://medlineplus.gov/femaleinfertility.html,Infertility means not being able to get pregnant after at least one year of trying (or 6 months if the woman is over age 35). If a woman keeps having miscarriages; it is also called infertility.  Female infertility can result from age; physical problems; hormone problems; and lifestyle or environmental factors.Most cases of infertility in women result from problems with producing eggs. In premature ovarian failure; the ovaries stop functioning before natural menopause.  In polycystic ovary syndrome (PCOS); the ovaries may not release an egg regularly or they may not release a healthy egg.About a third of the time; infertility is because of a problem with the woman. One third of the time; it is a problem with the man. Sometimes no cause can be found.If you think you might be infertile; see your doctor. There are tests that may tell if you have fertility problems. When it is possible to find the cause; treatments may include medicines; surgery; or assisted reproductive technologies. Happily; many couples treated for infertility are able to have babies.Dept. of Health and Human Services Office on Women's Health
Sexual Problems in Women,https://medlineplus.gov/sexualproblemsinwomen.html,There are many problems that can keep a woman from enjoying sex. They includeLack of sexual desire Inability to become arousedLack of orgasm; or sexual climaxPainful intercourseThese problems may have physical or psychological causes. Physical causes may include conditions like diabetes; heart disease; nerve disorders; or hormone problems. Some drugs can also affect desire and function. Psychological causes may include work-related stress and anxiety. They may also include depression or concerns about marriage or relationship problems. For some women; the problem results from past sexual trauma. Occasional problems with sexual function are common. If problems last more than a few months or cause distress for you or your partner; you should see your health care provider.
Tubal Ligation,https://medlineplus.gov/tuballigation.html,Tubal ligation (getting your "tubes tied") is a type of surgery. It prevents a woman from getting pregnant. It is a permanent form of birth control; and is effective right away.The surgery cuts; ties; or seals the fallopian tubes. This blocks the path between the ovaries and the uterus. The sperm cannot reach the egg to fertilize it; and the egg cannot reach the uterus. You get the surgery in a hospital or outpatient surgical center. It usually takes about 30 minutes. Almost all women go home the same day. They can return to most normal activities within a few days.Tubal ligation can sometimes be reversed. The reversal is major surgery; and does not always work.
Iron,https://medlineplus.gov/iron.html,Iron is a mineral that our bodies need for many functions. For example; iron is part of hemoglobin; a protein which carries oxygen from our lungs throughout our bodies. It helps our muscles store and use oxygen. Iron is also part of many other proteins and enzymes.Your body needs the right amount of iron. If you have too little iron; you may develop iron deficiency anemia. Causes of low iron levels include blood loss; poor diet; or an inability to absorb enough iron from foods. People at higher risk of having too little iron are young children and women who are pregnant or have periods.Too much iron can damage your body.  Taking too many iron supplements can cause iron poisoning. Some people have an inherited disease called hemochromatosis.  It causes too much iron to build up in the body. Centers for Disease Control and Prevention
Infertility,https://medlineplus.gov/infertility.html,Infertility means not being able to become pregnant after a year of trying. If a woman can get pregnant but keeps having miscarriages or stillbirths; that's also called infertility.Infertility is fairly common. After one year of having unprotected sex; about 15 percent of couples are unable to get pregnant. About a third of the time; infertility can be traced to the woman. In another third of cases; it is because of the man. The rest of the time; it is because of both partners or no cause can be found.There are treatments that are specifically for men or for women. Some involve both partners. Drugs; assisted reproductive technology; and surgery are common treatments. Happily; many couples treated for infertility go on to have babies.NIH: National Institute of Child Health and Human Development
Preconception Care,https://medlineplus.gov/preconceptioncare.html,If you are trying to have a baby or are just thinking about it; it is not too early to prepare for a safe pregnancy and a healthy baby. You should see your health care provider for preconception care.Preconception care is care you receive before you get pregnant. Your health care provider can help you figure out which steps you need to take now; such asFinding and taking care of any problems that might affect you and your baby later; like diabetes or high blood pressureIncreasing the amount of folic acid you get to prevent neural tube defectsGetting up to date on vaccinesAvoiding smoking; drinking alcohol; or taking drugsTrying to reach a healthy weightBy taking action on health issues before pregnancy; you can prevent many future problems for yourself and your baby. Once you're pregnant;  you'll get prenatal care until your baby is born.NIH: National Institute of Child Health and Human Development
Fetal Alcohol Spectrum Disorders,https://medlineplus.gov/fetalalcoholspectrumdisorders.html,Alcohol can harm your baby at any stage during a pregnancy. That includes the earliest stages before you even know you are pregnant. Drinking alcohol can cause a group of conditions called fetal alcohol spectrum disorders (FASDs). Effects can include physical and behavioral problems such as trouble withLearning and rememberingUnderstanding and following directionsControlling emotionsCommunicating and socializingDaily life skills; such as feeding and bathingFetal alcohol syndrome is the most serious type of FASD. People with fetal alcohol syndrome have facial abnormalities; including wide-set and narrow eyes; growth problems and nervous system abnormalities.FASDs last a lifetime. There is no cure for FASDs. Treatments can help. These include medicines to help with some symptoms and behavior therapy. No one treatment is right for every child.Centers for Disease Control and Prevention
Fetal Alcohol Spectrum Disorders,https://medlineplus.gov/fetalalcoholspectrumdisorders.html,Alcohol can harm your baby at any stage during a pregnancy. That includes the earliest stages before you even know you are pregnant. Drinking alcohol can cause a group of conditions called fetal alcohol spectrum disorders (FASDs). Effects can include physical and behavioral problems such as trouble withLearning and rememberingUnderstanding and following directionsControlling emotionsCommunicating and socializingDaily life skills; such as feeding and bathingFetal alcohol syndrome is the most serious type of FASD. People with fetal alcohol syndrome have facial abnormalities; including wide-set and narrow eyes; growth problems and nervous system abnormalities.FASDs last a lifetime. There is no cure for FASDs. Treatments can help. These include medicines to help with some symptoms and behavior therapy. No one treatment is right for every child.Centers for Disease Control and Prevention
Fetal Health and Development,https://medlineplus.gov/fetalhealthanddevelopment.html,A normal pregnancy lasts nine months. Each three-month period of pregnancy is called a trimester. During each trimester; the fetus grows and develops. Regular medical checkups and prenatal tests are very important. They canHelp keep you and your baby healthySpot problems with your baby (if there are any). In some cases; health care professionals can treat the problem before your baby is born.  But even when they cannot; it can still be helpful to know about the problem early on. That gives you time to learn about your baby's condition and prepare for any challenges you may face after the baby is born.Prevent problems during delivery. For example; if your baby is breech (bottom first or feet first; instead of head first); you may need to have a Cesarean section to avoid complications.Besides getting medical care; there are other things you can do to keep your baby as healthy as possible. It's important not to drink or smoke.  Try to eat a healthy diet and make sure to take care of any health problems you have during pregnancy.
Prenatal Testing,https://medlineplus.gov/prenataltesting.html,Prenatal testing provides information about your baby's health before he or she is born. Some routine tests during pregnancy also check on your health. At your first prenatal visit; your health care provider will test for a number of things; including problems with your blood; signs of infections; and whether you are immune to rubella (German measles) and chickenpox.Throughout your pregnancy; your health care provider may suggest a number of other tests; too. Some tests are suggested for all women; such as screenings for gestational diabetes; Down syndrome; and HIV. Other tests might be offered based on your:AgePersonal or family health historyEthnic backgroundResults of routine testsSome tests are screening tests. They detect risks for or signs of possible health problems in you or your baby. Based on screening test results; your doctor might suggest diagnostic tests. Diagnostic tests confirm or rule out health problems in you or your baby. Dept. of Health and Human Services Office on Women's Health
Fever,https://medlineplus.gov/fever.html,A fever is a body temperature that is higher than normal. A normal temperature can vary from person to person; but it is usually around 98.6 F. A fever is not a disease. It is usually a sign that your body is trying to fight an illness or infection.Infections cause most fevers. You get a fever because your body is trying to kill the virus or bacteria that caused the infection. Most of those bacteria and viruses do well when your body is at your normal temperature. But if you have a fever; it is harder for them to survive. Fever also activates your body's immune system.Other causes of fevers includeMedicines; including some antibiotics; blood pressure medicines; and anti-seizure medicinesHeat illnessCancersAutoimmune diseasesSome childhood immunizationsTreatment depends on the cause of your fever. If the fever is very high; your health care provider may recommend taking an over-the-counter medicine such as acetaminophen or ibuprofen. Adults can also take aspirin; but children with fevers should not take aspirin. It is also important to drink enough liquids; to prevent dehydration.
Cold Sores,https://medlineplus.gov/coldsores.html,Cold sores are caused by a contagious virus called herpes simplex virus (HSV). There are two types of HSV. Type 1 usually causes oral herpes; or cold sores. Type 1 herpes virus infects more than half of the U.S. population by the time they reach their 20s. Type 2 usually affects the genital area.Some people have no symptoms from the infection. But others develop painful and unsightly cold sores. Cold sores usually occur outside the mouth; on or around the lips. When they are inside the mouth; they are usually on the gums or the roof of the mouth. They are not the same as canker sores; which are not contagious.There is no cure for cold sores. They normally go away on their own in a few weeks.  Antiviral medicines can help them heal faster.  They can also help to prevent cold sores in people who often get them. Other medicines can help with the pain and discomfort of the sores. These include ointments that numb the blisters; soften the crusts of the sores; or dry them out. Protecting your lips from the sun with sunblock lip balm can also help.
Dietary Fiber,https://medlineplus.gov/dietaryfiber.html,Fiber is a substance in plants. Dietary fiber is the kind you eat. It's a type of carbohydrate. You may also see it listed on a food label as soluble fiber or insoluble fiber. Both types have important health benefits.Good sources of dietary fiber includeWhole grainsNuts and seedsFruit and vegetablesDietary fiber adds bulk to your diet and makes you feel full faster; helping you control your weight. It helps digestion and helps prevent constipation. Most Americans don't eat enough dietary fiber. But add it to your diet slowly. Increasing dietary fiber too quickly can lead to gas; bloating; and cramps.Centers for Disease Control and Prevention
Breast Diseases,https://medlineplus.gov/breastdiseases.html,Most women experience breast changes at some time. Your age; hormone levels; and medicines you take may cause lumps; bumps; and discharges (fluids that are not breast milk).If you have a breast lump; pain; discharge or skin irritation; see your health care provider. Minor and serious breast problems have similar  symptoms. Although many women fear cancer; most breast problems are not cancer.Some common breast changes areFibrocystic breast changes - lumpiness; thickening and swelling; often just before a woman's periodCysts - fluid-filled lumpsFibroadenomas - solid; round; rubbery lumps that move easily when pushed; occurring most in younger womenIntraductal papillomas - growths similar to warts near the nippleBlocked milk ductsMilk production when a woman is not breastfeedingNIH: National Cancer Institute
